Version = 2.0
Id,Category,DM Address,Name,PLCNo,40000,ModbusAddress,AlgoNo,Length,DataType,BitNo,UseEngUnit,Offset,Span,Monitor,Control,Direction,IOType,EnableTraceLog,Description,Remark,,,,,,,,
15,System Data,D10024,System Data B7,1,24,40024,0,1,UInt16,0,0,0,0,0,1,IPC->PLC,None,,"Seconds Data. Store second data in UINT format (e.g., 0~59)","When the time storage completion signal reaches 0?1, check the IN data on the PLC.",,,,,,,,
16,System Data,D10015.2,MAC_MINI_IPC,1,15,40015,0,1,Bit,2,0,0,0,0,1,IPC->PLC,None,,"Mac mini communication status. Send the communication status with the Mac mini at 0,1",Recognize triggers from IPC and turn on PLC devices,,,,,,,,
17,System Data,D10029,IPC_STATUS,1,29,40029,0,1,UInt16,0,0,0,0,0,1,IPC->PLC,None,,"IPC Login Status. Send numbers of 1~3 for Rep, Maintenance, and Admin according to the logged-in person",Check the numbers from IPC,,,,,,,,
18,Control Data,D10050.0,STARTUP_COND_1,1,50,40050,0,1,Bit,0,0,0,0,0,1,PLC?IPC,None,,"Startup condition 1. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
19,Control Data,D10050.1,STARTUP_COND_2,1,50,40050,0,1,Bit,1,0,0,0,0,1,PLC?IPC,None,,"Startup condition 2. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
20,Control Data,D10050.2,STARTUP_COND_3,1,50,40050,0,1,Bit,2,0,0,0,0,1,PLC?IPC,None,,"Startup condition 3. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
21,Control Data,D10050.3,STARTUP_COND_4,1,50,40050,0,1,Bit,3,0,0,0,0,1,PLC?IPC,None,,"Startup condition 4. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
22,Control Data,D10050.4,STARTUP_COND_5,1,50,40050,0,1,Bit,4,0,0,0,0,1,PLC?IPC,None,,"Startup condition 5. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
23,Control Data,D10050.5,STARTUP_COND_6,1,50,40050,0,1,Bit,5,0,0,0,0,1,PLC?IPC,None,,"Startup condition 6. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
24,Control Data,D10050.6,STARTUP_COND_7,1,50,40050,0,1,Bit,6,0,0,0,0,1,PLC?IPC,None,,"Startup condition 7. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
25,Control Data,D10050.7,STARTUP_COND_8,1,50,40050,0,1,Bit,7,0,0,0,0,1,PLC?IPC,None,,"Startup condition 8. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
26,Control Data,D10050.8,STARTUP_COND_9,1,50,40050,0,1,Bit,8,0,0,0,0,1,PLC?IPC,None,,"Startup condition 9. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
27,Control Data,D10050.9,STARTUP_COND_10,1,50,40050,0,1,Bit,9,0,0,0,0,1,PLC?IPC,None,,"Startup Condition 10. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
28,Control Data,D10050.10,STARTUP_COND_11,1,50,40050,0,1,Bit,10,0,0,0,0,1,PLC?IPC,None,,"Startup Condition 11. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
29,Control Data,D10050.11,STARTUP_COND_12,1,50,40050,0,1,Bit,11,0,0,0,0,1,PLC?IPC,None,,"Startup Condition 12. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
30,Control Data,D10050.12,STARTUP_COND_13,1,50,40050,0,1,Bit,12,0,0,0,0,1,PLC?IPC,None,,"Startup Condition 13. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
31,Control Data,D10050.13,STARTUP_COND_14,1,50,40050,0,1,Bit,13,0,0,0,0,1,PLC?IPC,None,,"Startup Condition 14. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
32,Control Data,D10050.14,STARTUP_COND_15,1,50,40050,0,1,Bit,14,0,0,0,0,1,PLC?IPC,None,,"Startup Condition 15. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
33,Control Data,D10050.15,STARTUP_COND_16,1,50,40050,0,1,Bit,15,0,0,0,0,1,PLC?IPC,None,,"Startup Condition 16. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
34,Control Data,D10051.0,Control Data A1,1,51,40051,0,1,Bit,0,0,0,0,0,1,PLC?IPC,None,,"Auto Run Condition Validation Signal. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
35,Control Data,D10051.1,Control Data A2,1,51,40051,0,1,Bit,1,0,0,0,0,1,PLC?IPC,None,,"Dry Run Condition Validation Signal. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
36,Control Data,D10051.2,Control Data A3,1,51,40051,0,1,Bit,2,0,0,0,0,1,PLC?IPC,None,,"Cycle Stop Condition Validation Signal. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
37,Control Data,D10051.3,Control Data A4,1,51,40051,0,1,Bit,3,0,0,0,0,1,PLC?IPC,None,,"Product dispensing stop Activation condition established signal. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
38,Control Data,D10051.4,Control Data A5,1,51,40051,0,1,Bit,4,0,0,0,0,1,PLC?IPC,None,,"Mass return to origin, activation conditions established, signal. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
39,Control Data,D10051.8,Control Data C1,1,51,40051,0,1,Bit,8,0,0,0,0,1,PLC?IPC,None,,"Auto Run Launching. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
40,Control Data,D10051.9,Control Data C2,1,51,40051,0,1,Bit,9,0,0,0,0,1,PLC?IPC,None,,"Dry Run Launching. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
41,Control Data,D10051.10,Control Data C3,1,51,40051,0,1,Bit,10,0,0,0,0,1,PLC?IPC,None,,"Cycle Stop Activating. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
42,Control Data,D10051.11,Control Data C4,1,51,40051,0,1,Bit,11,0,0,0,0,1,PLC?IPC,None,,"Product dispensing stop Activating. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
43,Control Data,D10051.12,Control Data C5,1,51,40051,0,1,Bit,12,0,0,0,0,1,PLC?IPC,None,,"Mass return to origin Activation. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
44,Control Data,D10052.0,2D_DATE_PLC,1,52,40052,0,1,Bit,0,0,0,0,0,1,PLC?IPC,None,,"2D Data Reading Instruction. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
45,Control Data,D10052.1,INSPEC_DATE_PLC,1,52,40052,0,1,Bit,1,0,0,0,0,1,PLC?IPC,None,,"Post-bending inspection data reading instruction. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
46,Control Data,D10052.15,OEE_RESET_COMP,1,52,40052,0,1,Bit,15,0,0,0,0,1,PLC?IPC,None,,"OEE Reset Complete Signal. After writing the CCD data to the DM, change the Bit to 0?1.",Received by polling at 0.1 second intervals,,,,,,,,
47,Control Data,D10056.0,Control Data B1,1,56,40056,0,1,Bit,0,0,0,0,0,1,IPC?PLC,None,,Auto Run Start Signal. Create a switch to the IPC monitor and turn on the signal by pressing the switch,Recognize triggers from IPC and turn on PLC devices,,,,,,,,
48,Control Data,D10056.1,Control Data B2,1,56,40056,0,1,Bit,1,0,0,0,0,1,IPC?PLC,None,,Dry Run Start Signal. Create a switch to the IPC monitor and turn on the signal by pressing the switch,Recognize triggers from IPC and turn on PLC devices,,,,,,,,
49,Control Data,D10056.2,Control Data B3,1,56,40056,0,1,Bit,2,0,0,0,0,1,IPC?PLC,None,,Cycle Stop Start Signal. Create a switch to the IPC monitor and turn on the signal by pressing the switch,Recognize triggers from IPC and turn on PLC devices,,,,,,,,
50,Control Data,D10056.3,Control Data B4,1,56,40056,0,1,Bit,3,0,0,0,0,1,IPC?PLC,None,,Product Dispensing Stop Signal. Create a switch to the IPC monitor and turn on the signal by pressing the switch,Recognize triggers from IPC and turn on PLC devices,,,,,,,,
51,Control Data,D10056.4,Control Data B5,1,56,40056,0,1,Bit,4,0,0,0,0,1,IPC?PLC,None,,Mass return to origin signal. Create a switch to the IPC monitor and turn on the signal by pressing the switch,Recognize triggers from IPC and turn on PLC devices,,,,,,,,
52,Control Data,D10057.0,2D_DATE_READ,1,57,40057,0,1,Bit,0,0,0,0,0,1,IPC?PLC,None,,2D ALL???????. CCD?????PLC?????????????????????ON???,IPC???????????PLC?????ON???,,,,,,,,
53,Control Data,D10057.1,INSPEC_DATE_READ,1,57,40057,0,1,Bit,1,0,0,0,0,1,IPC?PLC,None,,Post-bending inspection ALL data reading completed. Create a switch to the IPC monitor and turn on the signal by pressing the switch,Recognize triggers from IPC and turn on PLC devices,,,,,,,,
54,Control Data,D10057.15,OEE_RESET_PLC,1,57,40057,0,1,Bit,15,0,0,0,0,1,IPC?PLC,None,,OEE Reset Signal. Create a switch to the IPC monitor and turn on the signal by pressing the switch,Recognize triggers from IPC and turn on PLC devices,,,,,,,,
55,Production,D10100.0,Cycle Time A1,1,100,40100,0,1,Bit,0,0,0,0,0,1,PLC?IPC,None,,1 cycle complete signal. Change Bit to 0?1 upon completion of one cycle,Received by polling at 0.1 second intervals,,,,,,,,
56,Production,D10102,PD_CYCLETIME ,1,102,40102,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,Real cycle time. Count up in PLC (count up in seconds),Received by triggering a one-cycle completion signal,,,,,,,,
57,Production,D10105.0,Cycle Time B1,1,105,40105,0,1,Bit,0,0,0,0,0,1,IPC?PLC,None,,Real cycle time received signal. Turn on the trigger signal when the actual cycle time receipt is completed.,Recognize triggers from IPC and turn on PLC devices,,,,,,,,
58,Production,D10150,PD_UPTIME,1,150,40150,0,2,UInt32,0,0,0,0,0,1,PLC?IPC,None,,"Uptime. Count up in PLC (count up in seconds)
Example: 1 hour 1 minute 1 second ? 3661 seconds","Polling for 1 second and converting seconds to hours, minutes, seconds, and seconds",,,,,,,,
59,Production,D10152,PD_ALARM_STOPTIME,1,152,40152,0,2,UInt32,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Stop Time. Count up in PLC (count up in seconds)
Example: 1 hour 1 minute 1 second ? 3661 seconds","Polling for 1 second and converting seconds to hours, minutes, seconds, and seconds",,,,,,,,
60,Production,D10154,PD_DOWNTIME,1,154,40154,0,2,UInt32,0,0,0,0,0,1,PLC?IPC,None,,"Downtime. Count up in PLC (count up in seconds)
Example: 1 hour 1 minute 1 second ? 3661 seconds","Polling for 1 second and converting seconds to hours, minutes, seconds, and seconds",,,,,,,,
61,Production,D10156,OEE A1,1,156,40156,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,Actual production. Count up on PLC,"Polling for 1 second and converting seconds to hours, minutes, seconds, and seconds",,,,,,,,
62,Production,D10157,OEE A2,1,157,40157,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,Number of good products. Count up on PLC,"Polling for 1 second and converting seconds to hours, minutes, seconds, and seconds",,,,,,,,
63,Production,D10158,OEE A3,1,158,40158,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,Number of defective products. Count up on PLC,"Polling for 1 second and converting seconds to hours, minutes, seconds, and seconds",,,,,,,,
64,Production,D10159,OEE A4,1,159,40159,0,1,,0,0,0,0,0,1,PLC?IPC,None,,Theoretical cycle time. ,Create a function for entering a fixed number (show to the first decimal point) Example: 0.1 seconds,,,,,,,,
65,Alarm,D10170.0,Alarm A1,1,170,40170,0,1,Bit,0,0,0,0,0,1,PLC?IPC,None,,"alarm data transmission signal. When an alarm occurs and the alarm code is stored in the PLC device, the Bit is changed to 0?1",Received by polling at 0.1 second intervals,,,,,,,,
66,Alarm,D10171,PD_ALARMS1 ,1,171,40171,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.1~NO.16). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
67,Alarm,D10172,PD_ALARMS2,1,172,40172,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.17~NO.32). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
68,Alarm,D10173,PD_ALARMS3,1,173,40173,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.33~NO.48). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
69,Alarm,D10174,PD_ALARMS4,1,174,40174,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.49~NO.64). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
70,Alarm,D10175,PD_ALARMS5,1,175,40175,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.65~NO.80). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
71,Alarm,D10176,PD_ALARMS6,1,176,40176,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.81~NO.96). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
72,Alarm,D10177,PD_ALARMS7,1,177,40177,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.97~NO.112). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
73,Alarm,D10178,PD_ALARMS8,1,178,40178,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.113~NO.128). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
74,Alarm,D10179,PD_ALARMS9,1,179,40179,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.129~NO.144). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
75,Alarm,D10180,PD_ALARMS10,1,180,40180,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.145~NO.160). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
76,Alarm,D10181,PD_ALARMS11,1,181,40181,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.161~NO.176). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
77,Alarm,D10182,PD_ALARMS12,1,182,40182,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.177~NO.192). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
78,Alarm,D10183,PD_ALARMS13,1,183,40183,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.193~NO.208). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
79,Alarm,D15170.0,Alarm2 A1,2,5170,45170,0,1,Bit,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.209~NO.224). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
80,Alarm,D15171,PD_ALARMS2-1,2,5171,45171,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.225~NO.240). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
81,Alarm,D15172,PD_ALARMS2-2,2,5172,45172,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.241~NO.256). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
82,Alarm,D15173,PD_ALARMS2-3,2,5173,45173,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.257~NO.272). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
83,Alarm,D15174,PD_ALARMS2-4,2,5174,45174,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.273~NO.288). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
84,Alarm,D15175,PD_ALARMS2-5,2,5175,45175,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.289~NO.304). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
85,Alarm,D15176,PD_ALARMS2-6,2,5176,45176,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.305~NO.320). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
86,Alarm,D15177,PD_ALARMS2-7,2,5177,45177,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.321~NO.336). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
87,Alarm,D15178,PD_ALARMS2-8,2,5178,45178,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.337~NO.352). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
88,Alarm,D15179,PD_ALARMS2-9,2,5179,45179,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.353~NO.368). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
89,Alarm,D15180,PD_ALARMS2-10,2,5180,45180,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.369~NO.384). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
90,Alarm,D15181,PD_ALARMS2-11,2,5181,45181,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.385~NO.400). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
91,Alarm,D15182,PD_ALARMS2-12,2,5182,45182,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.401~NO.416). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
92,Alarm,D15183,PD_ALARMS2-13,2,5183,45183,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,"Alarm Data (NO.417~NO.432). When an alarm occurs, change each 16-bit alarm data to 0?1",Received by triggering an alarm data transmission signal,,,,,,,,
93,Alarm,D15184.0,Alarm2-B1,2,5184,45184,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,PLC2 Alarm Data Reception Completion Signal,Turn on the trigger signal when the alarm code is received,,,,,,,,
94,Alarm,D10184.0,Alarm B1,1,184,40184,0,1,Bit,0,0,0,0,0,1,IPC?PLC,None,,Alarm Data Received Signal. Turn on the trigger signal when the alarm code is received,Recognize triggers from IPC and turn on PLC devices,,,,,,,,
95,Alarm,D10184.1,Alarm B2,1,184,40184,0,1,Bit,1,0,0,0,0,1,IPC?PLC,None,,Alarm Reset Signal. Create a switch to the IPC monitor and turn on the signal by pressing the switch,Recognize triggers from IPC and turn on PLC devices,,,,,,,,
96,IO Monitor,D10200,Input_1_16,1,200,40200,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,PLC1 I/O Input (NO.1?NO.16). Input1_1~Input1_16,Change each I/O information to 0?1 for each 16-bit,,,,,,,,
97,IO Monitor,D10201,PLC1_Input_17_32,1,201,40201,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,PLC1 I/O Input (NO.17?NO.32). Input1_17~Input1_32,Change each I/O information to 0?1 for each 16-bit,,,,,,,,
98,IO Monitor,D10202,PLC1_Input_33_48,1,202,40202,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,PLC1 I/O Input (NO.33?NO.48). Input1_33~Input1_48,Change each I/O information to 0?1 for each 16-bit,,,,,,,,
99,IO Monitor,D10203,PLC1_Input_49_64,1,203,40203,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,PLC1 I/O Input (NO.49?NO.64). Input1_49~Input1_64,Change each I/O information to 0?1 for each 16-bit,,,,,,,,
100,IO Monitor,D10204,PLC1_Input_65_80,1,204,40204,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,PLC1 I/O Input (NO.65?NO.80). Input1_65~Input1_80,Change each I/O information to 0?1 for each 16-bit,,,,,,,,
101,IO Monitor,D10205,PLC1_Input_81_96,1,205,40205,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,PLC1 I/O Input (NO.81?NO.96). Input1_81~Input1_96,Change each I/O information to 0?1 for each 16-bit,,,,,,,,
102,IO Monitor,D10206,PLC1_Input_97_112,1,206,40206,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,PLC1 I/O Input (NO.97?NO.112). Input1_97~Input1_112,Change each I/O information to 0?1 for each 16-bit,,,,,,,,
103,IO Monitor,D10207,PLC1_Input_113_128,1,207,40207,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,PLC1 I/O Input (NO.113?NO.128). Input1_113~Input1_128,Change each I/O information to 0?1 for each 16-bit,,,,,,,,
104,IO Monitor,D10208,PLC1_Input_129_145,1,208,40208,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,PLC1 I/O Input (NO.129?NO.144). Input1_129~Input1_144,Change each I/O information to 0?1 for each 16-bit,,,,,,,,
105,IO Monitor,D10209,PLC1_Input_145_160,1,209,40209,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,PLC1 I/O Input (NO.145?NO.160). Input1_145~Input1_160,Change each I/O information to 0?1 for each 16-bit,,,,,,,,
106,IO Monitor,D10210,PLC1_Output_1_16,1,210,40210,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,PLC1 I/O Output (NO.1?NO.16). Output1_1~Output1_16,Change each I/O information to 0?1 for each 16-bit,,,,,,,,
107,IO Monitor,D10211,PLC1_Output_17_32,1,211,40211,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,PLC1 I/O Output (NO.17?NO.32). Output1_17~Output1_32,Change each I/O information to 0?1 for each 16-bit,,,,,,,,
108,IO Monitor,D10212,PLC1_Output_33_48,1,212,40212,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,PLC1 I/O Output (NO.33?NO.48). Output1_33~Output1_48,Change each I/O information to 0?1 for each 16-bit,,,,,,,,
109,IO Monitor,D10213,PLC1_Output_49_64,1,213,40213,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,PLC1 I/O Output (NO.49?NO.64). Output1_49~Output1_64,Change each I/O information to 0?1 for each 16-bit,,,,,,,,
110,IO Monitor,D10214,PLC1_Output_65_80,1,214,40214,0,1,UInt16,0,0,0,0,0,1,PLC?IPC,None,,PLC1 I/O Output (NO.65?NO.80). Output1_65~Output1_80,Change each I/O information to 0?1 for each 16-bit,,,,,,,,
